gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,ghs_count,ghs_sum,ghs_mean,Shape_Area
"43",Karagaskada South,"2148065","2","21","2148",235.000000000000000,635.000000000000000,2.702127659574468,337451.31
"564",Panvila,"2115070","2","21","2115",1626.000000000000000,6326.000000000000000,3.890528905289053,2317837.20
"7917",Ganepalla,"9227135","9","92","9227",4929.000000000000000,6929.000000000000000,1.405761817812944,7047610.41
"2263",Akkaraipattu 11,"5236065","5","52","5236",89.000000000000000,5889.000000000000000,66.168539325842701,130635.64
"8",Delgasthenna,"2109125","2","21","2109",274.000000000000000,2874.000000000000000,10.489051094890511,391170.62
"61",Udadelthota,"2148020","2","21","2148",3002.000000000000000,4202.000000000000000,1.399733510992672,4278410.45
"2900",Santhiveli,"5110065","5","51","5110",1343.000000000000000,33943.000000000000000,25.274013402829485,1908804.19
"631",Nawayalathenna,"2112235","2","21","2112",449.000000000000000,16449.000000000000000,36.634743875278396,641020.48
"67",Galoya,"2142005","2","21","2142",1679.000000000000000,9179.000000000000000,5.466944609886838,2399020.52
"89",Panvilathenna,"2142125","2","21","2142",2356.000000000000000,7356.000000000000000,3.122241086587436,3363453.59
"7919",Garagoda pahala,"9227020","9","92","9227",867.000000000000000,3767.000000000000000,4.344867358708189,1244043.54
"2298",Kolavil 01,"5239090","5","52","5239",576.000000000000000,2876.000000000000000,4.993055555555555,821833.49
"73",Haloya,"2142010","2","21","2142",3702.000000000000000,8502.000000000000000,2.296596434359806,5286887.40
"2341",Kalugolla,"5242060","5","52","5242",3072.000000000000000,3072.000000000000000,1.000000000000000,4397399.82
"2825",Kattankudy division 1 South,"5124010","5","51","5124",94.000000000000000,8494.000000000000000,90.361702127659569,133834.52
"74",Hunugala,"2142150","2","21","2142",3734.000000000000000,4434.000000000000000,1.187466523835029,5333015.51
"2625",Sammanthurai 05,"5218045","5","52","5218",50.000000000000000,4550.000000000000000,91.000000000000000,70023.04
"8093",Julangete,"9148195","9","91","9148",4970.000000000000000,18270.000000000000000,3.676056338028169,7118130.21
"2826",Kattankudy Division 2,"5124015","5","51","5124",45.000000000000000,4545.000000000000000,101.000000000000000,65688.68
"91",Pupuressa,"2142160","2","21","2142",13487.000000000000000,42287.000000000000000,3.135389634462816,19265226.09
"2901",Thevapuram,"5110075","5","51","5110",1798.000000000000000,34998.000000000000000,19.464961067853171,2556828.89
"2420",Kalmunai  01B,"5221075","5","52","5221",168.000000000000000,11368.000000000000000,67.666666666666671,238744.44
"98",Alugolla,"2154090","2","21","2154",3517.000000000000000,4417.000000000000000,1.255899914700028,5028683.59
"102",Galpaya,"2154015","2","21","2154",3214.000000000000000,4214.000000000000000,1.311138767890479,4596182.36
"2282",Town Division 04,"5236140","5","52","5236",167.000000000000000,14767.000000000000000,88.425149700598809,239759.61
"2958",Araipattai North,"5127125","5","51","5127",108.000000000000000,6408.000000000000000,59.333333333333336,158286.67
"112",Miyanagolla,"2154155","2","21","2154",4233.000000000000000,6433.000000000000000,1.519725962674226,6055417.23
"206",Wathuwala,"2133200","2","21","2133",314.000000000000000,4114.000000000000000,13.101910828025478,452168.42
"121",Udagama,"2154115","2","21","2154",2422.000000000000000,10222.000000000000000,4.220478943022296,3451221.39
"136",Banwelgolla,"2133380","2","21","2133",385.000000000000000,385.000000000000000,1.000000000000000,548290.59
"113",Patithalawa,"2154080","2","21","2154",6475.000000000000000,8375.000000000000000,1.293436293436294,9236473.83
"114",Pellapitiya North,"2154050","2","21","2154",2911.000000000000000,3111.000000000000000,1.068704912401237,4156172.71
"139",Bothota,"2133035","2","21","2133",842.000000000000000,842.000000000000000,1.000000000000000,1201484.84
"116",Pitakanda,"2154140","2","21","2154",3033.000000000000000,4833.000000000000000,1.593471810089021,4324911.18
"119",Sinhapura,"2154130","2","21","2154",933.000000000000000,3933.000000000000000,4.215434083601286,1334571.10
"140",Bulathgolla,"2133340","2","21","2133",379.000000000000000,479.000000000000000,1.263852242744063,546142.97
"3235",Sivapuram,"5330015","5","53","5330",209.000000000000000,209.000000000000000,1.000000000000000,299826.40
"123",Uduwella,"2154075","2","21","2154",3267.000000000000000,3767.000000000000000,1.153045607591062,4688824.17
"128",Yatapana,"2154100","2","21","2154",1588.000000000000000,2588.000000000000000,1.629722921914358,2269564.68
"135",Attaragama South,"2133060","2","21","2133",367.000000000000000,367.000000000000000,1.000000000000000,524700.68
"145",Endaruthenna,"2133155","2","21","2133",327.000000000000000,427.000000000000000,1.305810397553517,466733.76
"146",Etamurungagoda,"2133280","2","21","2133",343.000000000000000,9143.000000000000000,26.655976676384839,485429.64
"150",Haloluwa,"2133410","2","21","2133",581.000000000000000,4781.000000000000000,8.228915662650602,830216.59
"151",Haloluwa Pallegama,"2133395","2","21","2133",296.000000000000000,596.000000000000000,2.013513513513514,420678.81
"3255",Arunagirinagar,"5315205","5","53","5315",141.000000000000000,12541.000000000000000,88.943262411347519,197313.79
"160",Karanduwawala Pahala,"2133240","2","21","2133",310.000000000000000,310.000000000000000,1.000000000000000,445061.06
"161",Katugasthota,"2133290","2","21","2133",198.000000000000000,15098.000000000000000,76.252525252525245,284078.03
"171",Mapamadulla,"2133215","2","21","2133",167.000000000000000,1167.000000000000000,6.988023952095809,236939.66
"3346",Galnewa Town,"7163085","7","71","7163",1164.000000000000000,1664.000000000000000,1.429553264604811,1653785.17
"267",Welivita Pahalagama,"2134160","2","21","2134",527.000000000000000,727.000000000000000,1.379506641366224,754626.05
"163",Kulugammana,"2133260","2","21","2133",584.000000000000000,2184.000000000000000,3.739726027397260,832941.57
"165",Kurundugahamada,"2133325","2","21","2133",128.000000000000000,128.000000000000000,1.000000000000000,179922.07
"175",Nugawela,"2133145","2","21","2133",473.000000000000000,7773.000000000000000,16.433403805496830,680314.81
"176",Owathenna,"2133245","2","21","2133",918.000000000000000,918.000000000000000,1.000000000000000,1310922.20
"2414",Periyaneelavanai  Muslim Section,"5224010","5","52","5224",70.000000000000000,6370.000000000000000,91.000000000000000,98238.24
"179",Pallebokalawela,"2133175","2","21","2133",491.000000000000000,691.000000000000000,1.407331975560081,698224.27
"180",Pallemulla,"2133390","2","21","2133",236.000000000000000,836.000000000000000,3.542372881355932,335857.20
"182",Rajapihilla,"2133075","2","21","2133",452.000000000000000,2552.000000000000000,5.646017699115045,642032.68
"188",Seewaleekanda,"2133330","2","21","2133",360.000000000000000,660.000000000000000,1.833333333333333,511389.28
"195",Udamulla,"2133355","2","21","2133",263.000000000000000,3763.000000000000000,14.307984790874524,374087.20
"3248",Puthukudiyirippu,"5318015","5","53","5318",988.000000000000000,988.000000000000000,1.000000000000000,1402751.88
"227",Dehideniya Madige,"2134210","2","21","2134",665.000000000000000,1265.000000000000000,1.902255639097744,956501.36
"259",Sivurupitiya,"2134130","2","21","2134",825.000000000000000,825.000000000000000,1.000000000000000,1171165.41
"256",Polwatta,"2134045","2","21","2134",688.000000000000000,688.000000000000000,1.000000000000000,980425.66
"4129",Unagalavehera West,"7203205","7","72","7203",2147.000000000000000,2147.000000000000000,1.000000000000000,3055122.35
"347",Dambarawa,"2127300","2","21","2127",646.000000000000000,1246.000000000000000,1.928792569659443,917980.29
"261",Walpalagolla North,"2134145","2","21","2134",817.000000000000000,817.000000000000000,1.000000000000000,1154847.24
"262",Walpalagolla South,"2134155","2","21","2134",934.000000000000000,2034.000000000000000,2.177730192719486,1338114.34
"266",Welivita Ihalagama,"2134125","2","21","2134",931.000000000000000,931.000000000000000,1.000000000000000,1325969.11
"13101",Lindara Ihala,"1212335","1","12","1212",367.000000000000000,467.000000000000000,1.272479564032698,531108.48
"279",Asgiriya,"2130085","2","21","2130",315.000000000000000,18015.000000000000000,57.190476190476190,449347.83
"280",Bahirawa Kanda,"2130090","2","21","2130",484.000000000000000,16884.000000000000000,34.884297520661157,695910.08
"281",Bogambara,"2130145","2","21","2130",261.000000000000000,11461.000000000000000,43.911877394636015,374617.22
"348",Deekirimadawala,"2127205","2","21","2127",264.000000000000000,1764.000000000000000,6.681818181818182,378962.62
"283",Bowala,"2130205","2","21","2130",784.000000000000000,33284.000000000000000,42.454081632653065,1116609.38
"286",Gatambe,"2130180","2","21","2130",1819.000000000000000,56019.000000000000000,30.796591533809785,2589327.05
"289",Gurudeniya East,"2130275","2","21","2130",2205.000000000000000,25905.000000000000000,11.748299319727892,3148600.24
"290",Gurudeniya West,"2130270","2","21","2130",419.000000000000000,4319.000000000000000,10.307875894988067,595266.93
