gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,guf_count,guf_sum,guf_mean,Shape_Area
"43",Karagaskada South,"2148065","2","21","2148",2236.000000000000000,25755.000000000000000,11.518336314847943,337451.31
"564",Panvila,"2115070","2","21","2115",15373.000000000000000,101745.000000000000000,6.618421908540949,2317837.20
"7917",Ganepalla,"9227135","9","92","9227",46726.000000000000000,0.000000000000000,0.000000000000000,7047610.41
"2263",Akkaraipattu 11,"5236065","5","52","5236",868.000000000000000,156060.000000000000000,179.792626728110605,130635.64
"8",Delgasthenna,"2109125","2","21","2109",2599.000000000000000,113475.000000000000000,43.661023470565603,391170.62
"61",Udadelthota,"2148020","2","21","2148",28385.000000000000000,34680.000000000000000,1.221772062709177,4278410.45
"2900",Santhiveli,"5110065","5","51","5110",12680.000000000000000,878220.000000000000000,69.260252365930597,1908804.19
"631",Nawayalathenna,"2112235","2","21","2112",4252.000000000000000,467160.000000000000000,109.868297271872066,641020.48
"67",Galoya,"2142005","2","21","2142",15906.000000000000000,0.000000000000000,0.000000000000000,2399020.52
"89",Panvilathenna,"2142125","2","21","2142",22305.000000000000000,62985.000000000000000,2.823806321452589,3363453.59
"7919",Garagoda pahala,"9227020","9","92","9227",8248.000000000000000,144075.000000000000000,17.467870999030069,1244043.54
"2298",Kolavil 01,"5239090","5","52","5239",5469.000000000000000,189975.000000000000000,34.736697750959955,821833.49
"73",Haloya,"2142010","2","21","2142",35049.000000000000000,0.000000000000000,0.000000000000000,5286887.40
"2341",Kalugolla,"5242060","5","52","5242",29174.000000000000000,13005.000000000000000,0.445773634057723,4397399.82
"2825",Kattankudy division 1 South,"5124010","5","51","5124",887.000000000000000,224910.000000000000000,253.562570462232230,133834.52
"74",Hunugala,"2142150","2","21","2142",35368.000000000000000,0.000000000000000,0.000000000000000,5333015.51
"2625",Sammanthurai 05,"5218045","5","52","5218",462.000000000000000,117555.000000000000000,254.448051948051955,70023.04
"8093",Julangete,"9148195","9","91","9148",47093.000000000000000,17595.000000000000000,0.373622406727114,7118130.21
"2826",Kattankudy Division 2,"5124015","5","51","5124",436.000000000000000,110670.000000000000000,253.830275229357795,65688.68
"91",Pupuressa,"2142160","2","21","2142",127728.000000000000000,277695.000000000000000,2.174112175873732,19265226.09
"2901",Thevapuram,"5110075","5","51","5110",16978.000000000000000,628320.000000000000000,37.007892566851218,2556828.89
"2420",Kalmunai  01B,"5221075","5","52","5221",1582.000000000000000,299115.000000000000000,189.073957016434889,238744.44
"98",Alugolla,"2154090","2","21","2154",33345.000000000000000,255.000000000000000,0.007647323436797,5028683.59
"102",Galpaya,"2154015","2","21","2154",30472.000000000000000,16830.000000000000000,0.552310317668679,4596182.36
"2282",Town Division 04,"5236140","5","52","5236",1596.000000000000000,351900.000000000000000,220.488721804511272,239759.61
"2958",Araipattai North,"5127125","5","51","5127",1049.000000000000000,195840.000000000000000,186.692087702573872,158286.67
"112",Miyanagolla,"2154155","2","21","2154",40143.000000000000000,45645.000000000000000,1.137060010462596,6055417.23
"206",Wathuwala,"2133200","2","21","2133",2999.000000000000000,153510.000000000000000,51.187062354118041,452168.42
